Station Number,Station Name,Province,Status,Latitude,Longitude,Year From,Year To,Gross Drainage Area (km2),Effective Drainage Area (km2),Regulation,Data Type,Operation Schedule,Sediment,RHBN,Real-Time,Datum Name,Publishing Office,Operating Agency,Contributed,Elevation
02PK004,CHEVREUILS (RIVIERE AUX) EN AMONT DE LA RIVIERE DU CHENE,QC,Discontinued,46.41222,-71.61611,1972,1977,56.8,,N,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,128.270614624
02PK005,CHENE (PETIT RIVIERE DU) A PARISVILLE,QC,Discontinued,46.5,-72.10778,1979,2007,356,,N,Flow,Continuous,Y,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,27.1306743622
02PK006,GENTILLY (RIVIERE)-1,QC,Discontinued,46.35639,-72.31083,1968,1977,181,,N,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,8.1777915955
02PK007,GENTILLY (RIVIERE)-2,QC,Discontinued,46.375,-72.32667,1972,1978,304,,N,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,12.9978313446
02PK008,GENTILLY (RIVIERE),QC,Discontinued,46.33333,-72.31667,1990,1992,302,,N,Flow,Seasonal,N,N,N,,QUEBEC CITY,QUEBEC HYDRO-ELECTRIC COMMISSION,Y,31
02PK009,DU CHENE (PETITE RIVIÈRE) À 250 M DU PONT-ROUTE 265 A DESCHAILLONS,QC,Active,46.54056,-72.09344,2007,2018,385,,N,Flow,Continuous,N,N,Y,,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,17.4674510956
02PL001,BECANCOUR (RIVIERE) A LYSTER,QC,Discontinued,46.36889,-71.6225,1921,1968,1410,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,125.2524337769
02PL002,BECANCOUR (LAC),QC,Discontinued,46.06667,-71.24444,1969,1992,11,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,392
02PL003,WILLIAM (LAC),QC,Discontinued,46.12083,-71.56472,1968,2008,632,,R,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,190
02PL004,BECANCOUR (RIVIERE) A LA SORTIE DU LAC JOSEPH,QC,Discontinued,46.22722,-71.52444,1974,1982,724,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,202.1368713379
02PL005,"BECANCOUR (RIVIERE) À 2,1 KM EN AMONT DE LA RIVIÈRE PALMER",QC,Active,46.30611,-71.45139,1966,2018,919,,N,Flow,Continuous,N,N,Y,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,184.157333374
02PL006,BECANCOUR (RIVIERE) A DAVELUVILLE,QC,Discontinued,46.21417,-72.14111,1965,1967,2210,,N,Flow,Miscellaneous,Y,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,69
02PL007,BECANCOUR (RIVIERE) PRES DE SAINT-SYLVERE,QC,Discontinued,46.19472,-72.28389,1969,2001,2330,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,28.582403183
02PL008,BECANCOUR (RIVIERE) A BECANCOUR,QC,Discontinued,46.35278,-72.43944,1972,1997,2600,,N,Level,Seasonal,Y,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,7
02PL009,BECANCOUR (RIVIERE)  A 5.1 KM EN AVAL DU RUISSEAU SALABERRY,QC,Discontinued,46.04417,-71.4475,1979,2010,227,,N,Flow and Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,207.4146575928
02PL010,BOURBON (RIVIERE) A PLESSISVILLE,QC,Discontinued,46.21944,-71.7775,1966,1972,97.6,,R,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,140.4906768799
02PL011,PALMER (RIVIERE) EN AMONT DE LA RIVIERE OSGOODE,QC,Discontinued,46.30056,-71.37,1973,1978,216,,N,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,209.688873291
02PL012,BULLARD (RUISSEAU) A SAINT-JEAN-DE-BREBEUF,QC,Discontinued,46.17556,-71.45778,1977,1995,25.7,,N,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,261.1333618164
02PL013,BULLARD (RUISSEAU) A MILLFIELD,QC,Discontinued,46.21,-71.48806,1972,1978,75.8,,N,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,211.2391052246
02PL015,BOURBON (RIVIÈRE) SUR LE 11IE RANG À PLESSISVILLE,QC,Active,46.184,-71.7542,2006,2018,50,,,Flow,Continuous,N,N,Y,,QUEBEC CITY,,N,161.3578948975
02PL016,BÉCANCOUR (RIVIÈRE) À 6 KM  EN AVAL DU PONT DE L'AUTOROUTE 20,QC,Active,46.199,-72.0982,1999,2018,2170,,,Flow,Continuous,N,N,Y,,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,81
02PL017,OSGOOD (RIVIERE) A KINNEAR'S MILLS,QC,Active,46.2239,-71.3825,2011,2018,74,,,Flow,Continuous,N,N,Y,,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,268
02QA001,"TROIS PISTOLES (RIVIERE DES) À 2,1 KM EN AMONT DU PONT-ROUTE 132",QC,Active,48.08917,-69.19639,1923,2018,932,,R,Flow and Level,Continuous,N,N,Y,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,16.4684371948
02QA002,"RIMOUSKI (RIVIERE) À 3,7 KM EN AMONT DU PONT-ROUTE 132",QC,Active,48.41333,-68.55611,1962,2018,1610,,N,Flow,Continuous,Y,Y,Y,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,16
02QA003,MITIS (RIVIERE) A LA CENTRALE DE PRICE,QC,Discontinued,48.62194,-68.1375,1921,1994,1800,,R,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,QUEBEC HYDRO-ELECTRIC COMMISSION,Y,19.6702365875
02QA004,MITIS (RIVIERE) AU RESERVOIR MITIS,QC,Discontinued,48.32528,-67.91,1925,1966,300,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,QUEBEC HYDRO-ELECTRIC COMMISSION,Y,268.1954040527
02QA005,MISTIGOUGECHE (RIVIERE) AU RESERVOIR MISTIGOUGECHE,QC,Discontinued,48.1775,-68.02639,1955,1966,158,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,QUEBEC HYDRO-ELECTRIC COMMISSION,Y,299
02QA006,MITIS (RIVIERE) EN AVAL DE LA RIVIERE MISTIGOUGECHE,QC,Discontinued,48.46167,-68.01944,1925,1966,1080,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,112.6213150024
02QA007,MITIS (RIVIERE) EN AMONT DE LA RIVIERE MISTIGOUGECHE,QC,Discontinued,48.44861,-68.0025,1925,1970,573,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,120
02QA008,MITIS (RIVIERE) EN AVAL DU BARRAGE MITIA,QC,Discontinued,48.32528,-67.91,1925,1963,300,,R,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,268.1954040527
02QA009,MISTIGOUGECHE (RIVIERE) EN AVAL DU BARRAGE MISTIGOUGECHE,QC,Discontinued,48.1775,-68.02639,1955,1963,158,,R,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,299
02QA010,RIMOUSKI (RIVIERE)-2,QC,Discontinued,48.4125,-68.55556,1922,1962,1610,,R,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,16.5684013367
02QA011,TROIS PISTOLES (RIVIERE DES)-2,QC,Discontinued,48.07667,-69.18917,1922,1923,930,,N,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,69.0252304077
02QA012,SAINT-LAURENT (FLEUVE) A POINTE-AU-PERE,QC,Discontinued,48.51917,-68.47361,1899,1983,,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,15
02QA013,MITIS (RIVIERE) PRES DE LA CENTRALE DE PRICE,QC,Discontinued,48.62194,-68.1375,1921,1948,1790,,R,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,19.6702365875
02QA014,MITIS (RIVIERE) EN AVAL DE LA RIVIERE NEIGETTE,QC,Discontinued,48.53083,-68.1275,1923,1925,1740,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,66
02QA015,MITIS (RIVIERE) EN AMONT DE LA RIVIERE ROUGE,QC,Discontinued,48.38056,-67.95972,1925,1935,395,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,203.924911499
02QA016,MITIS (RIVIERE) PRES DE LA RIVIERE MISTIGOUGECHE,QC,Discontinued,48.45611,-68.01056,1970,1972,1040,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,119.1958618164
02QA017,NEIGETTE (RIVIERE),QC,Discontinued,48.5175,-68.16222,1974,1998,492,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,73.9654464722
02QA019,MASSE (LAC),QC,Discontinued,48.43861,-67.9425,1968,1974,7.83,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,257.9109802246
02QA020,DESCHENES (LAC),QC,Discontinued,48.42667,-67.95694,1968,1974,10.7,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,257.0263671875
02QA021,RIMOUSKI (RIVIERE)-3,QC,Discontinued,48.41361,-68.55194,1921,1922,1610,,N,Flow,Miscellaneous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,53.2857971191
02QA022,POINTU (LAC),QC,Discontinued,48.23194,-68.45667,1968,1974,7.34,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,218
02QA023,FERRE (LAC),QC,Discontinued,48.225,-68.44389,1968,1974,66.4,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,174.9354095459
02QA024,FERRE (PETIT LAC),QC,Discontinued,48.23972,-68.42056,1968,1974,60,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,167
02QA025,VINGT-QUATRE ARPENTS (LAC DES),QC,Discontinued,48.20028,-68.68333,1969,1971,72.2,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,208
02QA026,BIC (RIVIERE DU),QC,Discontinued,48.37361,-68.70417,1970,1972,190,,N,Flow,Continuous,Y,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,19.7026634216
02QA027,SAINT-MATHIEU (LAC),QC,Discontinued,48.17083,-68.99528,1968,1974,,,N,Level,Miscellaneous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,113.0608825684
02QA028,SAINT-MATHIEU (PETIT LAC),QC,Discontinued,48.19056,-68.97,1968,1974,,,N,Level,Miscellaneous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,113.35912323
02QA029,MALOBES (LAC),QC,Discontinued,48.26944,-68.85611,1968,1974,,,N,Level,Miscellaneous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,137.5452423096
02QA030,SAINT-HUBERT (LAC),QC,Discontinued,47.76861,-69.2325,1968,1974,5.85,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,348.2217712402
02QA031,RENOUF (RUISSEAU) A TROIS-PISTOLES-1,QC,Discontinued,48.12472,-69.18694,1973,1974,12.9,,N,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,17.9101753235
02QA032,RENOUF (RUISSEAU) A TROIS-PISTOLES-2,QC,Discontinued,48.12194,-69.18167,1974,1976,12.9,,N,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,34.7397880554
02QA033,TRIBUTAIRE DU SAINT-LAURENT PRES DE TROIS-PISTOLES,QC,Discontinued,48.135,-69.1575,1977,1981,21.1,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,27.5547161102
02QA034,SAINTE-ANNE (RIVIERE) A POINTE-AU-PERE,QC,Discontinued,48.51639,-68.46083,1974,1976,6.13,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,16.5435523987
02QA035,ANGUILLE (LAC A L'),QC,Discontinued,48.42917,-68.42083,1969,1971,7.21,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,154.3129119873
02QA036,"NEIGETTE (PETITE RIVIÈRE) À 0,5 KM EN AVAL  DU LAC À LA PEINTURE",QC,Active,48.4197,-68.3561,1997,2018,95,,N,Flow,Continuous,N,N,Y,,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,141.8560333252
02QB001,"MATANE (RIVIERE) À 8,5 KM EN AMONT DU PONT-ROUTE 132 À MATANE",QC,Active,48.77472,-67.54194,1926,2018,1650,,R,Flow,Continuous,N,N,Y,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,10
02QB002,CAP CHAT (RIVIERE),QC,Discontinued,49.07278,-66.67111,1963,1963,737,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,1.579433322
02QB003,BLANCHE (RIVIERE)-2,QC,Discontinued,48.7675,-67.66583,1933,1968,208,,R,Flow and Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,38.7883377075
02QB004,MATANE (RIVIERE) A MATANE,QC,Discontinued,48.81833,-67.53972,1922,1927,1680,,R,Flow and Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,3
02QB005,"BLANCHE (RIVIERE) À 3,5 KM EN AMONT DU PONT-ROUTE 132",QC,Active,48.76667,-67.66611,1967,2018,208,,R,Flow,Continuous,N,N,Y,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,40.6608848572
02QB006,MATANE (PETIT RIVIERE),QC,Discontinued,48.71972,-67.40167,1970,1971,349,,N,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,51
02QB007,MATANE (RIVIERE) EN AMONT DE LA RIVIERE TAMAGODI,QC,Discontinued,48.64,-67.28056,1970,1972,828,,R,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,155
02QB008,MATANE (RIVIERE) AU BARRAGE MATHIEU-D'AMOURS,QC,Active,48.84583,-67.53111,1971,2018,1690,,R,Level,Continuous,N,N,Y,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,3
02QB009,MATANE (LAC),QC,Discontinued,48.69028,-66.97444,1971,2003,147,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,260.3688049316
02QB010,TRUITE (ETANG A LA),QC,Discontinued,48.67861,-66.78556,1971,2002,34.4,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,326
02QB011,CAP CHAT (RIVIERE) A CAP-CHAT,QC,Discontinued,49.05639,-66.67222,1966,1996,721,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,8.4940853119
02QB012,MALCOLM (LAC),QC,Discontinued,48.59056,-67.75889,1968,1974,4.17,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,249.4719848633
02QB013,MICHAUD (LAC),QC,Discontinued,48.60111,-67.82444,1968,1974,2.3,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,200.9862060547
02QB015,GRAND CAPUCIN (RIVIERE DU),QC,Discontinued,49.04167,-66.86,1977,1981,71,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,6.915137291
02QB016,DUVIVIER (LAC),QC,Discontinued,48.69806,-67.145,1979,2003,21.8,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,320.4781799316
02QB017,PIERRE (RIVIERE A) A LES MECHINS,QC,Discontinued,49.00222,-66.97806,1977,1981,29.8,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,16.763425827
02QB018,MATANE (RIVIÈRE) À L'AMONT DU BARRAGE MATHIEU D'AMOUR SUR LE BRAS EST,QC,Discontinued,48.8426,-67.5288,1905,2013,1690,,,Level,Continuous,N,N,N,,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,0
02QC001,MADELEINE (RIVIERE) A RIVIERE-LA-MADELEINE,QC,Discontinued,49.20278,-65.29556,1954,1996,1200,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,16
02QC002,MADELEINE (RIVIERE) PRES DE RIVIERE-LA-MADELEINE,QC,Discontinued,49.19417,-65.29861,1940,1941,1190,,N,Flow,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,37.0733795166
02QC003,MONT-LOUIS (RIVIERE DE),QC,Discontinued,49.20667,-65.72861,1973,1975,291,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,15.6213188171
02QC004,MONT-LOUIS (RIVIERE DE) EN AVAL DE LA RIVIERE DE MONT-LOUIS-EST,QC,Discontinued,49.15361,-65.68833,1975,1977,254,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,61.3475761414
02QC006,SAINTE-ANNE (RIVIERE) A SAINTE-ANNE-DES-MONTS,QC,Discontinued,49.09889,-66.51111,1965,1973,823,,N,Level,Seasonal,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,16.9683113098
02QC007,SAINTE-ANNE (RIVIERE)-3,QC,Discontinued,49.06611,-66.49361,1966,1968,786,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,27.0506515503
02QC008,SAINTE-ANNE (RIVIERE)-2,QC,Discontinued,49.06528,-66.49389,1968,1975,786,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,49.9617843628
02QC009,"SAINTE-ANNE (RIVIERE) À 9,7 KM EN AMONT DU PONT-ROUTE 132",QC,Active,49.05889,-66.48667,1973,2018,774,,N,Flow,Continuous,N,N,Y,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,3
02QC010,SAINTE-ANNE (RIVIERE) EN AMONT DE LA RIVIERE SAINTE-ANNE NORD-EST,QC,Discontinued,48.94639,-66.12722,1968,1972,208,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,197.5516052246
02QC011,SAINTE-ANNE NORDD-EST (RIVIERE),QC,Discontinued,48.94778,-66.12306,1968,1972,177,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,194.0293121338
02QC012,SAINTE-ANNE (RIVIERE) A LA SORTIE DU LAC SAINTE-ANNE,QC,Discontinued,48.80667,-66.06361,1969,1970,35.6,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,379
02QC013,RENARD (PETIT RIVIERE AU),QC,Discontinued,48.98583,-64.42444,1971,1974,64,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,7.6663470268
02QC014,RENARD (PETITE RIVIERE AU) PRES DE L'EMBOUCHURE,QC,Discontinued,48.975,-64.43583,1976,1997,59.8,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,9.9648418427
02QC015,SAINT-LAURENT (FLEUVE) A SAINT-ANNE-DES-MONTS,QC,Discontinued,49.13333,-66.48333,1967,2000,,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,0
02QC016,SAINT-LAURENT (FLEUVE) A RIVIERE-AU-RENARD,QC,Discontinued,48.99694,-64.38083,1967,2008,,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,OCEAN SCIENCE AND SURVEYS (DFO) (CANADA),Y,0
02QC017,GRANDE-VALLEE (RIVIERE),QC,Discontinued,49.18861,-65.15222,1989,1995,128,,N,Flow,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,15.5782260895
02RA001,BONNARD (RIVIERE) AU RESERVOIR MANOUANE,QC,Discontinued,50.72167,-71.045,1960,1993,5000,,R,Level,Continuous,N,N,N,SERVICE GEODESIQUE DU CANADA,QUEBEC CITY,LA COMPAGNIE ALUMINIUM DU CANADA,Y,492.039276123
02RB003,MANOUANICHE (RIVIERE) AU RESERVOIR PIPMUACAN,QC,Discontinued,49.51167,-70.91167,1956,1984,13400,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,QUEBEC HYDRO-ELECTRIC COMMISSION,Y,395.1480407715
02RB004,MANOUANE (RIVIERE) A LA SORTIE DU LAC DUHAMEL,QC,Discontinued,49.88139,-70.92778,1978,2013,3690,,N,Flow and Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,242.1711425781
02RC001,PERIBONCA (RIVIERE) A HONFLEUR,QC,Discontinued,48.74528,-71.86722,1915,1950,,,R,Level,Continuous,N,N,N,ARBITRAIRE,QUEBEC CITY,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC,Y,111.5913162231
02RC002,PERIBONCA (RIVIERE) A LA CENTRALE DE CHUTE-A-LA-SAVANE,QC,Discontinued,48.75417,-71.84,1954,1993,26900,,R,Flow,Continuous,N,N,N,SERVICE GEODESIQUE DU CANADA,QUEBEC CITY,LA COMPAGNIE ALUMINIUM DU CANADA,Y,144.3029785156
02RC003,PERIBONCA (RIVIERE) A LA CENTRALE DE LA PASSE DANGEREUSE,QC,Discontinued,49.9,-71.25417,1957,1993,11000,,R,Flow,Continuous,N,N,N,SERVICE GEODESIQUE DU CANADA,QUEBEC CITY,LA COMPAGNIE ALUMINIUM DU CANADA,Y,440.8057556152
02RC005,PERIBONCA (RIVIERE) AU RESERVOIR DE LA PASSE DANGEREUSE,QC,Discontinued,49.9,-71.25417,1943,1993,11000,,R,Level,Continuous,N,N,N,SERVICE GEODESIQUE DU CANADA,QUEBEC CITY,LA COMPAGNIE ALUMINIUM DU CANADA,Y,440.8057556152
02RC006,PERIBONCA (LAC),QC,Discontinued,50.14444,-71.24889,1978,1993,11000,,R,Level,Continuous,N,N,N,SERVICE GEODESIQUE DU CANADA,QUEBEC CITY,LA COMPAGNIE ALUMINIUM DU CANADA,Y,425
02RC007,PERIBONCA (RIVIERE) A LA CENTRALE DE LA CHUTE DU DIABLE,QC,Discontinued,48.78083,-71.6975,1952,1993,25600,,R,Flow,Continuous,N,N,N,SERVICE GEODESIQUE DU CANADA,QUEBEC CITY,LA COMPAGNIE ALUMINIUM DU CANADA,Y,152
02RC008,PERIBONCA (RIVIERE) EN AVAL DE LA CENTRALE CHUTE DU DIABLE,QC,Discontinued,48.78083,-71.6975,1978,1993,25600,,R,Level,Continuous,N,N,N,SERVICE GEODESIQUE DU CANADA,QUEBEC CITY,LA COMPAGNIE ALUMINIUM DU CANADA,Y,152
